,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
0,30fgYmd8jPE,Chronologie biblique - Langue des signes biblique bulgare,"Chronologie biblique
Langue des signes biblique bulgare - CBT 0, KGH 0, FGH 0, SGH 0",PT15M40S,0:15:40,940.0
1,abh-ipTWwzY,Dialogue - Les fins temps - Langue des signes biblique burundaise,"Les fins temps - Apocalypse 7:1-17, 13:1-18
Langue des signes biblique burundaise - CBT 110, SGH 35",PT5M29S,0:5:29,329.0
2,5VbNCfd5D_s,Histoire - Les fins temps - Langue des signes biblique burundaise,"Les fins temps - Apocalypse 7:1-17, 13:1-18
Langue des signes biblique burundaise - CBT 110, SGH 35",PT15M43S,0:15:43,943.0
3,dMGwn_hdlUo,Introduction - Les fins temps - Langue des signes biblique burundaise,"Les fins temps - Apocalypse 7:1-17, 13:1-18
Langue des signes biblique burundaise - CBT 110, SGH 35",PT4M29S,0:4:29,269.0
4,dz7BocqQRXY,Sujet - Les fins temps - Langue des signes biblique burundaise,"Les fins temps - Apocalypse 7:1-17, 13:1-18
Langue des signes biblique burundaise - CBT 110, SGH 35",PT13S,0:0:13,13.0
5,ZWCxAfjQrgM,Dialogue - Les sept Églises - Langue des signes biblique burundaise,"Les sept Églises - Apocalypse 1:1-20, 2:1-29, 3:1-22
Langue des signes biblique burundaise - CBT 109, SGH 34",PT10M4S,0:10:4,604.0
6,due6QYeC5qE,Plus d'information - Les sept Églises - Langue des signes biblique burundaise,"Les sept Églises - Apocalypse 1:1-20, 2:1-29, 3:1-22
Langue des signes biblique burundaise - CBT 109, SGH 34",PT19M9S,0:19:9,1149.0
7,p3uGqyqrt90,Histoire - Les sept Églises - Langue des signes biblique burundaise,"Les sept Églises - Apocalypse 1:1-20, 2:1-29, 3:1-22
Langue des signes biblique burundaise - CBT 109, SGH 34",PT51M35S,0:51:35,3095.0
8,VFKImbB5Ock,Introduction - Les sept Églises - Langue des signes biblique burundaise,"Les sept Églises - Apocalypse 1:1-20, 2:1-29, 3:1-22
Langue des signes biblique burundaise - CBT 109, SGH 34",PT3M56S,0:3:56,236.0
9,M3WebtInhQw,Sujet - Les sept Églises - Langue des signes biblique burundaise,"Les sept Églises - Apocalypse 1:1-20, 2:1-29, 3:1-22
Langue des signes biblique burundaise - CBT 109, SGH 34",PT12S,0:0:12,12.0
10,7ieC0SPLJO8,Dialogue - Les dirigeants de l'Église et les Diacres - Langue des signes biblique burundaise,"Les dirigeants de l'Église et les Diacres - 1 Timothée 3:1-13
Langue des signes biblique burundaise - CBT 108, SGH 33",PT7M39S,0:7:39,459.0
11,U55hQgHMAnw,Plus d'information Les dirigeants de l'Église et les Diacres - Langue des signes biblique burundaise,"Les dirigeants de l'Église et les Diacres - 1 Timothée 3:1-13
Langue des signes biblique burundaise - CBT 108, SGH 33",PT58S,0:0:58,58.0
12,pxfyJ3OiiZI,Histoire - Les dirigeants de l'Église et les Diacres - Langue des signes biblique burundaise,"Les dirigeants de l'Église et les Diacres - 1 Timothée 3:1-13
Langue des signes biblique burundaise - CBT 108, SGH 33",PT5M15S,0:5:15,315.0
13,mkzmhqKZX8A,Introduction - Les dirigeants de l'Église et les Diacres - Langue des signes biblique burundaise,"Les dirigeants de l'Église et les Diacres - 1 Timothée 3:1-13
Langue des signes biblique burundaise - CBT 108, SGH 33",PT4M41S,0:4:41,281.0
14,S7VaDDMDjf0,Sujet - Les dirigeants de l'Église et les Diacres - Langue des signes biblique burundaise,"Les dirigeants de l'Église et les Diacres - 1 Timothée 3:1-13
Langue des signes biblique burundaise - CBT 108, SGH 33",PT12S,0:0:12,12.0
15,vD7t52XZtKc,Dialogue - S'efforcer pour avoir le prix de Dieu - Langue des signes biblique burundaise,"S'efforcer pour avoir le prix de Dieu - Philippiens 3:12-21
Langue des signes biblique burundaise - CBT 107, SGH 32",PT6M29S,0:6:29,389.0
16,1zGEe1t2_LQ,Plus d'information - S'efforcer pour avoir le prix de Dieu - Langue des signes biblique burundaise,"S'efforcer pour avoir le prix de Dieu - Philippiens 3:12-21
Langue des signes biblique burundaise - CBT 107, SGH 32",PT3M59S,0:3:59,239.0
17,QcvFEXIr-t8,Histoire - S'efforcer pour avoir le prix de Dieu - Langue des signes biblique burundaise,"S'efforcer pour avoir le prix de Dieu - Philippiens 3:12-21
Langue des signes biblique burundaise - CBT 107, SGH 32",PT3M26S,0:3:26,206.0
18,jtwJBvnyh0k,Introduction - S'efforcer pour avoir le prix de Dieu - Langue des signes biblique burundaise,"S'efforcer pour avoir le prix de Dieu - Philippiens 3:12-21
Langue des signes biblique burundaise - CBT 107, SGH 32",PT3M43S,0:3:43,223.0
19,mxdtHxLjX6Q,Sujet - S'efforcer pour avoir le prix de Dieu - Langue des signes biblique burundaise,"S'efforcer pour avoir le prix de Dieu - Philippiens 3:12-21
Langue des signes biblique burundaise - CBT 107, SGH 32",PT17S,0:0:17,17.0
20,-Tx1WS1RaCc,Dialogue - Prendre les armes de Dieu - Langue des signes biblique burundaise,"Prendre les armes de Dieu - Éphésiens 6:10-20
Langue des signes biblique burundaise - CBT 106, SGH 31",PT11M12S,0:11:12,672.0
21,oZGzB7g_Uhg,Plus d'information - Prendre les armes de Dieu - Langue des signes biblique burundaise,"Prendre les armes de Dieu - Éphésiens 6:10-20
Langue des signes biblique burundaise - CBT 106, SGH 31",PT15M26S,0:15:26,926.0
22,_OSaFeaY8K4,Histoire - Prendre les armes de Dieu - Langue des signes biblique burundaise,"Prendre les armes de Dieu - Éphésiens 6:10-20
Langue des signes biblique burundaise - CBT 106, SGH 31",PT4M24S,0:4:24,264.0
23,A7ZFXGce0Jg,Introduction - Prendre les armes de Dieu - Langue des signes biblique burundaise,"Prendre les armes de Dieu - Éphésiens 6:10-20
Langue des signes biblique burundaise - CBT 106, SGH 31",PT2M44S,0:2:44,164.0
24,pEjsUhUmWtM,Sujet - Prendre les armes de Dieu - Langue des signes biblique burundaise,"Prendre les armes de Dieu - Éphésiens 6:10-20
Langue des signes biblique burundaise - CBT 106, SGH 31",PT15S,0:0:15,15.0
25,o7MhupeLHMs,Dialogue - La relation du Christ et l'Église comme exemple pour mari et femme,"La relation du Christ et l'Église comme exemple pour mari et femme - Éphésiens 5:21-33
Langue des signes biblique burundaise - CBT 105, SGH 30",PT4M40S,0:4:40,280.0
26,YnEor46d7KM,Plus d'information - La relation du Christ et l'Église comme exemple pour mari et femme,"La relation du Christ et l'Église comme exemple pour mari et femme - Éphésiens 5:21-33
Langue des signes biblique burundaise - CBT 105, SGH 30",PT3M55S,0:3:55,235.0
27,QIrskEObHi8,Histoire - La relation du Christ et l'Église comme exemple pour mari et femme,"La relation du Christ et l'Église comme exemple pour mari et femme - Éphésiens 5:21-33
Langue des signes biblique burundaise - CBT 105, SGH 30",PT3M30S,0:3:30,210.0
28,ub2I2d_7SC0,Introduction - La relation du Christ et l'Église comme exemple pour mari et femme,"La relation du Christ et l'Église comme exemple pour mari et femme - Éphésiens 5:21-33
Langue des signes biblique burundaise - CBT 105, SGH 30",PT3M1S,0:3:1,181.0
29,X5pTjb0ALOw,Sujet - La relation du Christ et l'Église comme exemple pour mari et femme,"La relation du Christ et l'Église comme exemple pour mari et femme - Éphésiens 5:21-33
Langue des signes biblique burundaise - CBT 105, SGH 30",PT22S,0:0:22,22.0
30,oFp75haqafo,Dialogue - Paul travel à Rome - Langue des signes biblique burundaise,"Paul travel à Rome - Actes 27:1-44, 28:1-31
Langue des signes biblique burundaise - CBT 104, SGH 29",PT16M32S,0:16:32,992.0
31,c0LfRaN2vnI,Plus d'information - Paul travel à Rome - Langue des signes biblique burundaise,"Paul travel à Rome - Actes 27:1-44, 28:1-31
Langue des signes biblique burundaise - CBT 104, SGH 29",PT13M21S,0:13:21,801.0
32,sfDSocYMyiQ,Introduction - Paul travel à Rome - Langue des signes biblique burundaise,"Paul travel à Rome - Actes 27:1-44, 28:1-31
Langue des signes biblique burundaise - CBT 104, SGH 29",PT5M26S,0:5:26,326.0
33,LMFATrCMpcc,Sujet - Paul travel à Rome - Langue des signes biblique burundaise,"Paul travel à Rome - Actes 27:1-44, 28:1-31
Langue des signes biblique burundaise - CBT 104, SGH 29",PT16S,0:0:16,16.0
34,VC85hcLxK_I,Dialogue - Paul est emprisonné à Jérusalem - Langue des signes biblique burundaise,"Paul est emprisonné à Jérusalem - Actes 21:17-40, 22:1-30
Langue des signes biblique burundaise - CBT 103, SGH 28",PT4M51S,0:4:51,291.0
35,OAweIZWU8-s,Plus d'information - Paul est emprisonné à Jérusalem - Langue des signes biblique burundaise,"Paul est emprisonné à Jérusalem - Actes 21:17-40, 22:1-30
Langue des signes biblique burundaise - CBT 103, SGH 28",PT8M37S,0:8:37,517.0
36,2sId_h7Uy0Y,Histoire - Paul est emprisonné à Jérusalem - Langue des signes biblique burundaise,"Paul est emprisonné à Jérusalem - Actes 21:17-40, 22:1-30
Langue des signes biblique burundaise - CBT 103, SGH 28",PT21M50S,0:21:50,1310.0
37,Ky-2XFr5C7s,Introduction - Paul est emprisonné à Jérusalem - Langue des signes biblique burundaise,"Paul est emprisonné à Jérusalem - Actes 21:17-40, 22:1-30
Langue des signes biblique burundaise - CBT 103, SGH 28",PT3M2S,0:3:2,182.0
