,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
0,lnZrbqm-vD0,የመጨረሻው ዘመን - የኢትዮጵያ የምልክት ቋንቋ - SGH - ታሪክ,"የመጨረሻው ዘመን - የዮሐንስ ራእይ 7:1-17, 13:1-18
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 35",PT17M51S,0:17:51,1071.0
1,YXOmVZrXPWg,የመጨረሻው ዘመን - የኢትዮጵያ የምልክት ቋንቋ - SGH - ተጨማሪ መረጃ,"የመጨረሻው ዘመን - የዮሐንስ ራእይ 7:1-17, 13:1-18
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 35",PT6M30S,0:6:30,390.0
2,U3lTEUqtYAM,የመጨረሻው ዘመን - የኢትዮጵያ የምልክት ቋንቋ - SGH - መግቢያ,"የመጨረሻው ዘመን - የዮሐንስ ራእይ 7:1-17, 13:1-18
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 35",PT3M38S,0:3:38,218.0
3,tN_wS4X1ykI,የመጨረሻው ዘመን - ኢትዮጵያ የምልክት ቋንቋ - SGH - ርዕስ,"የመጨረሻው ዘመን - የዮሐንስ ራእይ 7:1-17, 13:1-18
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 35",PT6S,0:0:6,6.0
4,_5zgGJovvKk,ሰባቱ አብያተ ክርስቲያናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ታሪክ,"ሰባቱ አብያተ ክርስቲያናት - የዮሐንስ ራእይ 1:1-20, 2:1-29 and 3:1-22
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 34",PT43M37S,0:43:37,2617.0
5,gu0TJq7yIsU,ሰባቱ አብያተ ክርስቲያናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ተጨማሪ መረጃ,"ሰባቱ አብያተ ክርስቲያናት - የዮሐንስ ራእይ 1:1-20, 2:1-29 and 3:1-22
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 34",PT29M29S,0:29:29,1769.0
6,gaHyt96gI9w,ሰባቱ አብያተ ክርስቲያናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - መግቢያ,"ሰባቱ አብያተ ክርስቲያናት - የዮሐንስ ራእይ 1:1-20, 2:1-29 and 3:1-22
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 34",PT4M24S,0:4:24,264.0
7,b7AfzjELgEM,ሰባቱ አብያተ ክርስቲያናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ርዕስ,"ሰባቱ አብያተ ክርስቲያናት - የዮሐንስ ራእይ 1:1-20, 2:1-29 and 3:1-22
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 34",PT9S,0:0:9,9.0
8,H8MeQfkm8jo,የቤተክርስቲያን መሪዎች እና ዲያቆናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ተጨማሪ መረጃ,"የቤተክርስቲያን መሪዎች እና ዲያቆናት - 1ኛ ወደ ጢሞቴዎስ 3:1-13
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 33",PT10M6S,0:10:6,606.0
9,K_rzb6n4N8g,የቤተክርስቲያን መሪዎች እና ዲያቆናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - መግቢያ,"የቤተክርስቲያን መሪዎች እና ዲያቆናት - 1ኛ ወደ ጢሞቴዎስ 3:1-13
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 33",PT4M37S,0:4:37,277.0
10,lRsV74hL4Mc,የቤተክርስቲያን መሪዎች እና ዲያቆናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ታሪክ,"የቤተክርስቲያን መሪዎች እና ዲያቆናት - 1ኛ ወደ ጢሞቴዎስ 3:1-13
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 33",PT4M28S,0:4:28,268.0
11,9K7_YYltwv0,የቤተክርስቲያን መሪዎች እና ዲያቆናት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ርዕስ,"የቤተክርስቲያን መሪዎች እና ዲያቆናት - 1ኛ ወደ ጢሞቴዎስ 3:1-13
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 33",PT12S,0:0:12,12.0
12,tdrkwX43Q5w,የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ተጨማሪ መረጃ,"የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - ፊልጵስዩስ 3:12-21
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 32",PT12M42S,0:12:42,762.0
13,6UpRCzb1yxE,የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ታሪክ,"የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - ፊልጵስዩስ 3:12-21
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 32",PT3M56S,0:3:56,236.0
14,lj_NlAPs828,የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - የኢትዮጵያ የምልክት ቋንቋ - SGH - መግቢያ,"የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - ፊልጵስዩስ 3:12-21
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 32",PT3M49S,0:3:49,229.0
15,nTTjuW0kWk8,የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - የኢትዮጵያ የምልክት ቋንቋ - SGH - ርዕስ,"የእግዚአብሔርን ሽልማት ለማግኘት ጥረት - ፊልጵስዩስ 3:12-21
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 32",PT11S,0:0:11,11.0
16,WRodkd3_g5I,የእግዚአብሔር የጦር መሣርያ ልበሱ - የኢትዮጵያ የምልክት ቋንቋ - SGH - ተጨማሪ መረጃ,"የእግዚአብሔር የጦር መሣርያ ልበሱ - ወደ ኤፌሶን ሰዎች 6:10-20
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 31",PT29M16S,0:29:16,1756.0
17,vk36K0LL-r4,የእግዚአብሔር የጦር መሣርያ ልበሱ - የኢትዮጵያ የምልክት ቋንቋ - SGH - ታሪክ,"የእግዚአብሔር የጦር መሣርያ ልበሱ - ወደ ኤፌሶን ሰዎች 6:10-20
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 31",PT4M3S,0:4:3,243.0
18,QApeTerr50Q,የእግዚአብሔር የጦር መሣርያ ልበሱ - የኢትዮጵያ የምልክት ቋንቋ - SGH - መግቢያ,"የእግዚአብሔር የጦር መሣርያ ልበሱ - ወደ ኤፌሶን ሰዎች 6:10-20
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 31",PT2M21S,0:2:21,141.0
19,ZMNEce6ABkk,የእግዚአብሔር የጦር መሣርያ ልበሱ - የኢትዮጵያ የምልክት ቋንቋ - SGH - ርዕስ,"የእግዚአብሔር የጦር መሣርያ ልበሱ - ወደ ኤፌሶን ሰዎች 6:10-20
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 31",PT10S,0:0:10,10.0
20,RFZahrLN8SA,ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - የኢትዮጵያ የምልክት ቋንቋ - SGH - ታሪክ,"ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - ወደ ኤፌሶን ሰዎች 5:21-33
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 30",PT4M3S,0:4:3,243.0
21,OorBhKezU_A,ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - የኢትዮጵያ የምልክት ቋንቋ - SGH - ተጨማሪ መረጃ,"ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - ወደ ኤፌሶን ሰዎች 5:21-33
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 30",PT1M19S,0:1:19,79.0
22,GGnvpzexfbM,ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - የኢትዮጵያ የምልክት ቋንቋ - SGH - መግቢያ,"ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - ወደ ኤፌሶን ሰዎች 5:21-33
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 30",PT4M36S,0:4:36,276.0
23,2jJ0IfPcVYk,ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - የኢትዮጵያ የምልክት ቋንቋ - SGH - ርዕስ,"ክርስቶስ እና የቤተ-ክርስቲያን ግንኙነት ለባል እና ሚስት ግንኍነት ምሳሌ ነው - ወደ ኤፌሶን ሰዎች 5:21-33
የኢትዮጵያ የምልክት ቋንቋ - እግዚአብሔርን አገልግሉ እንዴት ታሪክ 30",PT18S,0:0:18,18.0
