,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
0,E66dH9lK4PI,Israelites Make a Golden Calf - Ghana Sign Language - FGH - Story,"Israelites Make a Golden Calf - Exodus 24:12-18; 32:1-35
Ghana Sign Language - Follow God How Story 24",PT15M14S,0:15:14,914.0
1,frjqHnzAFhs,Israelites Make a Golden Calf - Ghana Sign Language - FGH - More Info,"Israelites Make a Golden Calf - Exodus 24:12-18; 32:1-35
Ghana Sign Language - Follow God How Story 24",PT10M3S,0:10:3,603.0
2,n5SI79h-0Fc,Israelites Make a Golden Calf - Ghana Sign Language - FGH - Intro,"Israelites Make a Golden Calf - Exodus 24:12-18; 32:1-35
Ghana Sign Language - Follow God How Story 24",PT1M57S,0:1:57,117.0
3,ZkcS6ay6qYA,Israelites Make a Golden Calf - Ghana Sign Language - FGH - Topic,"Israelites Make a Golden Calf - Exodus 24:12-18; 32:1-35
Ghana Sign Language - Follow God How Story 24",PT20S,0:0:20,20.0
4,cOp477PUMZg,End Times - Ghana Sign Language - SGH - Story,"End Times - Revelations 7:1-17, 13:1-18
Ghana Sign Language - Serve God How Story 35",PT15M22S,0:15:22,922.0
5,tzWiDjQwJy4,End Times - Ghana Sign Language - SGH - More Info,"End Times - Revelations 7:1-17, 13:1-18
Ghana Sign Language - Serve God How Story 35",PT6M13S,0:6:13,373.0
6,AhZkXB25NrE,End Times - Ghana Sign Language - SGH - Intro,"End Times - Revelations 7:1-17, 13:1-18
Ghana Sign Language - Serve God How Story 35",PT2M43S,0:2:43,163.0
7,8im8b7udP3E,End Times - Ghana Sign Language - SGH - Topic,"End Times - Revelations 7:1-17, 13:1-18
Ghana Sign Language - Serve God How Story 35",PT15S,0:0:15,15.0
8,XZzT2NdDRbI,The seven Churches - Ghana Sign Language - SGH - Story,"The seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Ghana Sign Language - Serve God How Story 34",PT30M37S,0:30:37,1837.0
9,wXeVfHC0sy8,The seven Churches - Ghana Sign Language - SGH - More Info,"The seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Ghana Sign Language - Serve God How Story 34",PT22M,0:22:0,1320.0
10,CVx_gdsFCRo,The seven Churches - Ghana Sign Language - SGH - Intro,"The seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Ghana Sign Language - Serve God How Story 34",PT3M2S,0:3:2,182.0
11,nRhqdll_5Wk,The seven Churches - Ghana Sign Language - SGH - Topic,"The seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Ghana Sign Language - Serve God How Story 34",PT17S,0:0:17,17.0
12,xvW77wUaPGM,Church Leaders and the Deacons - Ghana Sign Language - SGH - More Info,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Ghana Sign Language - Serve God How Story 33",PT10M1S,0:10:1,601.0
13,0bSSbAm0mH8,Church Leaders and the Deacons - Ghana Sign Language - SGH - Story,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Ghana Sign Language - Serve God How Story 33",PT4M42S,0:4:42,282.0
14,DMty_RZY_do,Church Leaders and the Deacons - Ghana Sign Language - SGH - Intro,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Ghana Sign Language - Serve God How Story 33",PT2M42S,0:2:42,162.0
15,_jTnk0rUtpQ,Church Leaders and the Deacons - Ghana Sign Language - SGH - Topic,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Ghana Sign Language - Serve God How Story 33",PT18S,0:0:18,18.0
16,yOjoddwxZTA,Striving to get God's prize - Ghana Sign Language - SGH - More Info,"Striving to get God's prize - Philippians 3:12-21
Ghana Sign Language - Serve God How Story 32",PT9M52S,0:9:52,592.0
17,f5Ei_0tbxm4,Striving to get God's prize - Ghana Sign Language - SGH - Story,"Striving to get God's prize - Philippians 3:12-21
Ghana Sign Language - Serve God How Story 32",PT3M14S,0:3:14,194.0
18,J6BSwPvyL5Q,Striving to get God's prize - Ghana Sign Language - SGH - Intro,"Striving to get God's prize - Philippians 3:12-21
Ghana Sign Language - Serve God How Story 32",PT3M24S,0:3:24,204.0
19,leEPxCEP_VM,Striving to get God's prize - Ghana Sign Language - SGH - Topic,"Striving to get God's prize - Philippians 3:12-21
Ghana Sign Language - Serve God How Story 32",PT17S,0:0:17,17.0
20,shlx0BVAux4,Put on God's Armor - Ghana Sign Language - SGH - More Info,"Put on God's Armor - Ephesians 6:10-20
Ghana Sign Language - Serve God How Story 31",PT27M13S,0:27:13,1633.0
21,hpKS8Rh1fK0,Put on God's Armor - Ghana Sign Language - SGH - Story,"Put on God's Armor - Ephesians 6:10-20
Ghana Sign Language - Serve God How Story 31",PT4M3S,0:4:3,243.0
22,AZFjbotygLY,Put on God's Armor - Ghana Sign Language - SGH - Intro,"Put on God's Armor - Ephesians 6:10-20
Ghana Sign Language - Serve God How Story 31",PT2M29S,0:2:29,149.0
23,M98FozXiOio,Put on God's Armor - Ghana Sign Language - SGH - Topic,"Put on God's Armor - Ephesians 6:10-20
Ghana Sign Language - Serve God How Story 31",PT17S,0:0:17,17.0
24,eSVvyqjUNzI,Christ and church relationship as example for husband and wife - Ghana Sign Language - SGH More Info,"Christ and church relationship as example for husband and wife - Ephesians 5:22-33
Ghana Sign Language - Serve God How Story 30",PT7M21S,0:7:21,441.0
25,3hxd5CiTtyQ,Christ and church relationship as example for husband and wife - Ghana Sign Language - SGH - Story,"Christ and church relationship as example for husband and wife - Ephesians 5:22-33
Ghana Sign Language - Serve God How Story 30",PT3M9S,0:3:9,189.0
26,SYkQkE8qGe0,Christ and church relationship as example for husband and wife - Ghana Sign Language - SGH - Intro,"Christ and church relationship as example for husband and wife - Ephesians 5:22-33
Ghana Sign Language - Serve God How Story 30",PT3M41S,0:3:41,221.0
27,K7KqCf2AqWw,Christ and church relationship as example for husband and wife - Ghana Sign Language - SGH - Topic,"Christ and church relationship as example for husband and wife - Ephesians 5:22-33
Ghana Sign Language - Serve God How Story 30",PT23S,0:0:23,23.0
28,-G6CzmZC2Z0,Paul travels to Rome - Ghana Sign Language - SGH - Topic,"Paul travels to Rome - Acts 27:1-44, 28:1-31
Ghana Sign Language - Serve God How Story 29",PT35M15S,0:35:15,2115.0
29,4pSRV1BkPQo,Paul travels to Rome - Ghana Sign Language - SGH - Story,"Paul travels to Rome - Acts 27:1-44, 28:1-31
Ghana Sign Language - Serve God How Story 29",PT35M15S,0:35:15,2115.0
30,SU6fT9jw2Kk,Paul travels to Rome - Ghana Sign Language - SGH - More Info,"Paul travels to Rome - Acts 27:1-44, 28:1-31
Ghana Sign Language - Serve God How Story 29",PT23M26S,0:23:26,1406.0
31,SBTa5nProJk,Paul travels to Rome - Ghana Sign Language - SGH - Intro,"Paul travels to Rome - Acts 27:1-44, 28:1-31
Ghana Sign Language - Serve God How Story 29",PT4M50S,0:4:50,290.0
32,0dWfLn8QNzI,Paul is Imprisoned in Jerusalem - Ghana Sign Language - SGH - Story,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Ghana Sign Language - Serve God How Story 28",PT16M2S,0:16:2,962.0
33,gB0984to0lM,Paul is Imprisoned in Jerusalem - Ghana Sign Language - SGH - More Info,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Ghana Sign Language - Serve God How Story 28",PT11M41S,0:11:41,701.0
34,UMjVcZmj-Qc,Paul is Imprisoned in Jerusalem - Ghana Sign Language - SGH - Intro,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Ghana Sign Language - Serve God How Story 28",PT3M21S,0:3:21,201.0
35,WAS1XZofqmQ,Paul is Imprisoned in Jerusalem - Ghana Sign Language - SGH - Topic,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Ghana Sign Language - Serve God How Story 28",PT17S,0:0:17,17.0
36,SXpt6gqm17c,Paul teaches about Suffering - Ghana Sign Language - SGH - More Info,"Paul teaches about Suffering - 2 Corinthians 6:4-13
Ghana Sign Language - Serve God How Story 27",PT7M58S,0:7:58,478.0
37,RPv4JiijKtY,Paul teaches about Suffering - Ghana Sign Language - SGH - Story,"Paul teaches about Suffering - 2 Corinthians 6:4-13
Ghana Sign Language - Serve God How Story 27",PT4M43S,0:4:43,283.0
38,RHAtMBcA49M,Paul teaches about Suffering - Ghana Sign Language - SGH - Intro,"Paul teaches about Suffering - 2 Corinthians 6:4-13
Ghana Sign Language - Serve God How Story 27",PT2M34S,0:2:34,154.0
39,jcxfC84DPvk,Paul teaches about Suffering - Ghana Sign Language - SGH - Topic,"Paul teaches about Suffering - 2 Corinthians 6:4-13
Ghana Sign Language - Serve God How Story 27",PT17S,0:0:17,17.0
40,nhbKHN7fQe0,Paul teaches about the Gifts of the Holy Spirit - Ghana Sign Language - SGH - More Info,"Paul teaches about the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Ghana Sign Language - Serve God How Story 26",PT13M3S,0:13:3,783.0
41,-dlFzfhPhd8,Paul teaches about the Gifts of the Holy Spirit - Ghana Sign Language - SGH - Story,"Paul teaches about the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Ghana Sign Language - Serve God How Story 26",PT10M33S,0:10:33,633.0
42,S1uLSNOaizQ,Paul teaches about the Gifts of the Holy Spirit - Ghana Sign Language - SGH - Intro,"Paul teaches about the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Ghana Sign Language - Serve God How Story 26",PT1M14S,0:1:14,74.0
43,-K6wkyAyPZ8,Paul teaches about the Gifts of the Holy Spirit - Ghana Sign Language - SGH - Topic,"Paul teaches about the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Ghana Sign Language - Serve God How Story 26",PT18S,0:0:18,18.0
44,TrJlbGJPH5c,Paul teaches about the Lord's Supper - Ghana Sign Language - SGH - More Info,"Paul teaches about the Lord's Supper - 1 Corinthians 11:17-34
Ghana Sign Language - Serve God How Story 25",PT14M58S,0:14:58,898.0
45,neWV7fHqEaE,Paul teaches about the Lord's Supper - Ghana Sign Language - SGH - Story,"Paul teaches about the Lord's Supper - 1 Corinthians 11:17-34
Ghana Sign Language - Serve God How Story 25",PT6M44S,0:6:44,404.0
46,5DxR6T9pHZY,Paul teaches about the Lord's Supper - Ghana Sign Language - SGH - Intro,"Paul teaches about the Lord's Supper - 1 Corinthians 11:17-34
Ghana Sign Language - Serve God How Story 25",PT1M41S,0:1:41,101.0
47,Irnq0HUhWT0,Paul teaches about the Lord's Supper - Ghana Sign Language - SGH - Topic,"Paul teaches about the Lord's Supper - 1 Corinthians 11:17-34
Ghana Sign Language - Serve God How Story 25",PT16S,0:0:16,16.0
48,YlfgWOVKwfY,Paul teaches about Marriage - Ghana Sign Language - SGH - More Info,"Paul teaches about Marriage - 1 Corinthians 7:1-40
Ghana Sign Language - Serve God How Story 24",PT12M33S,0:12:33,753.0
49,VqUKRh5qrms,Paul teaches about Marriage - Ghana Sign Language - SGH - Story,"Paul teaches about Marriage - 1 Corinthians 7:1-40
Ghana Sign Language - Serve God How Story 24",PT12M47S,0:12:47,767.0
50,wN6wi66GAAQ,Paul teaches about Marriage - Ghana Sign Language - SGH - Intro,"Paul teaches about Marriage - 1 Corinthians 7:1-40
Ghana Sign Language - Serve God How Story 24",PT48S,0:0:48,48.0
51,F6zuod8qBh4,Paul teaches about Marriage - Ghana Sign Language - SGH - Topic,"Paul teaches about Marriage - 1 Corinthians 7:1-40
Ghana Sign Language - Serve God How Story 24",PT16S,0:0:16,16.0
