,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
0,b6omDHA2Kwk,Dialogue - The End Times - Kenyan Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Kenyan Sign Language - CBT 110, SGH 35",PT5M29S,0:5:29,329.0
1,NH97-OgTvuo,Story - The End Times - Kenyan Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Kenyan Sign Language - CBT 110, SGH 35",PT15M47S,0:15:47,947.0
2,sjx9ByHnDLA,Introduction - The End Times - Kenyan Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Kenyan Sign Language - CBT 110, SGH 35",PT4M21S,0:4:21,261.0
3,IHU78shRmF8,Topic - The End Times - Kenyan Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Kenyan Sign Language - CBT 110, SGH 35",PT14S,0:0:14,14.0
4,Cyxcwk_nma4,Dialogue - The Seven Churches - Kenyan Sign Language,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Kenyan Sign Language - CBT 109, SGH 34",PT8M9S,0:8:9,489.0
5,3FZoFeB0X4w,More Information - The Seven Churches - Kenyan Sign Language,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Kenyan Sign Language - CBT 109, SGH 34",PT20M15S,0:20:15,1215.0
6,ayhG3aHzpKY,Story - The Seven Churches - Kenyan Sign Language,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Kenyan Sign Language - CBT 109, SGH 34",PT41M53S,0:41:53,2513.0
7,W4g6vsNLMLc,Introduction - The Seven Churches - Kenyan Sign Language,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Kenyan Sign Language - CBT 109, SGH 34",PT5M38S,0:5:38,338.0
8,7NZiiNSeyys,Topic - The Seven Churches - Kenyan Sign Language,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Kenyan Sign Language - CBT 109, SGH 34",PT17S,0:0:17,17.0
9,NVNjxEnPUwc,Dialogue - Church Leaders and the Deacons - Kenyan Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Kenyan Sign Language - CBT 108, SGH 33",PT6M38S,0:6:38,398.0
10,5Em6xB8tGHk,More Information - Church Leaders and the Deacons - Kenyan Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Kenyan Sign Language - CBT 108, SGH 33",PT6M10S,0:6:10,370.0
11,sNMswiEEpnA,Story - Church Leaders and the Deacons - Kenyan Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Kenyan Sign Language - CBT 108, SGH 33",PT5M2S,0:5:2,302.0
12,pBYcxDhW2qE,Introduction - Church Leaders and the Deacons - Kenyan Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Kenyan Sign Language - CBT 108, SGH 33",PT3M53S,0:3:53,233.0
13,if7ra1cnkyY,Topic - Church Leaders and the Deacons - Kenyan Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Kenyan Sign Language - CBT 108, SGH 33",PT16S,0:0:16,16.0
14,RHWzpVcCKxY,Dialogue - Striving to get God's Prize - Kenyan Sign Language,"Striving to get God's Prize - Philippians 3:12-21
Kenyan Sign Langauge - CBT 107, SGH 32",PT6M37S,0:6:37,397.0
15,B9eOsDec8aw,More Information - Striving to get God's Prize - Kenyan Sign Language,"Striving to get God's Prize - Philippians 3:12-21
Kenyan Sign Langauge - CBT 107, SGH 32",PT10M14S,0:10:14,614.0
16,h6-ZdDPnYJk,Story - Striving to get God's Prize - Kenyan Sign Language,"Striving to get God's Prize - Philippians 3:12-21
Kenyan Sign Langauge - CBT 107, SGH 32",PT3M22S,0:3:22,202.0
17,YQlf2aqNW5Y,Introduction - Striving to get God's Prize - Kenyan Sign Language,"Striving to get God's Prize - Philippians 3:12-21
Kenyan Sign Langauge - CBT 107, SGH 32",PT4M48S,0:4:48,288.0
18,_gxITMF_FP0,Topic - Striving to get God's Prize - Kenyan Sign Language,"Striving to get God's Prize - Philippians 3:12-21
Kenyan Sign Langauge - CBT 107, SGH 32",PT19S,0:0:19,19.0
19,9Fr7mKKKXPQ,Dialogue - Put on God's Armor - Kenyan Sign Language,"Put on God's Armor - Ephesians 6:10-20
Kenyan Sign Language - CBT 106, SGH 31",PT13M29S,0:13:29,809.0
20,d22pVOBN4NQ,More Information - Put on God's Armor - Kenyan Sign Language,"Put on God's Armor - Ephesians 6:10-20
Kenyan Sign Language - CBT 106, SGH 31",PT16M52S,0:16:52,1012.0
21,1wS2LQQfij0,Story - Put on God's Armor - Kenyan Sign Language,"Put on God's Armor - Ephesians 6:10-20
Kenyan Sign Language - CBT 106, SGH 31",PT3M47S,0:3:47,227.0
22,191wV0txLCw,Introduction - Put on God's Armor - Kenyan Sign Language,"Put on God's Armor - Ephesians 6:10-20
Kenyan Sign Language - CBT 106, SGH 31",PT1M23S,0:1:23,83.0
23,6Xa9EC3c468,Topic - Put on God's Armor - Kenyan Sign Language,"Put on God's Armor - Ephesians 6:10-20
Kenyan Sign Language - CBT 106, SGH 31",PT25S,0:0:25,25.0
24,SRDkYnw4DYo,Dialogue - Christ and Church Relationship as Example for Husband and Wife - Kenyan Sign Language,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:22-33
Kenyan Sign Langauge - CBT 105, SGH 30",PT4M17S,0:4:17,257.0
25,TmjEawxqLB8,More Information Christ and Church Relationship as Example for Husband and Wife Kenyan Sign Language,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:22-33
Kenyan Sign Langauge - CBT 105, SGH 30",PT5M19S,0:5:19,319.0
26,KiunRiHH5E4,Story - Christ and Church Relationship as Example for Husband and Wife - Kenyan Sign Language,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:22-33
Kenyan Sign Langauge - CBT 105, SGH 30",PT3M37S,0:3:37,217.0
27,bPHR-bP5-lM,Introduction - Christ and Church Relationship as Example for Husband and Wife - Kenyan Sign Language,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:22-33
Kenyan Sign Langauge - CBT 105, SGH 30",PT4M37S,0:4:37,277.0
28,LsyHs4SyhOY,Topic - Christ and Church Relationship as Example for Husband and Wife - Kenyan Sign Language,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:22-33
Kenyan Sign Langauge - CBT 105, SGH 30",PT21S,0:0:21,21.0
29,clj0pqT6Olg,Dialogue - Paul Travels to Rome - Kenyan Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Kenyan Sign Language - CBT 104, SGH 29",PT12M39S,0:12:39,759.0
30,xxNdAxNAl0c,More Information - Paul Travels to Rome - Kenyan Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Kenyan Sign Language - CBT 104, SGH 29",PT11M16S,0:11:16,676.0
31,CFkSHEmVVWI,Story - Paul Travels to Rome - Kenyan Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Kenyan Sign Language - CBT 104, SGH 29",PT34M8S,0:34:8,2048.0
32,pTD20q853Zo,Introduction - Paul Travels to Rome - Kenyan Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Kenyan Sign Language - CBT 104, SGH 29",PT5M26S,0:5:26,326.0
33,JqpHHJlrqPo,Topic - Paul Travels to Rome - Kenyan Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Kenyan Sign Language - CBT 104, SGH 29",PT19S,0:0:19,19.0
34,AoB7jaJfawY,Dialogue - Paul is Imprisoned in Jerusalem - Kenyan Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Kenyan Sign Language - CBT 103, SGH 28",PT4M28S,0:4:28,268.0
35,4O9GfaQUF0c,More Information - Paul is Imprisoned in Jerusalem - Kenyan Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Kenyan Sign Language - CBT 103, SGH 28",PT8M47S,0:8:47,527.0
36,boBZeuxBDds,Story - Paul is Imprisoned in Jerusalem - Kenyan Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Kenyan Sign Language - CBT 103, SGH 28",PT22M48S,0:22:48,1368.0
37,gEVYVJf7amY,Introduction - Paul is Imprisoned in Jerusalem - Kenyan Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Kenyan Sign Language - CBT 103, SGH 28",PT3M42S,0:3:42,222.0
38,W-eqdv3vAAQ,Topic - Paul is Imprisoned in Jerusalem - Kenyan Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Kenyan Sign Language - CBT 103, SGH 28",PT17S,0:0:17,17.0
39,KhL1dTLDSoc,Dialogue - Paul Teaches About Suffering - Kenyan Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:1-13
Kenyan Sign Language - CBT 102, SGH 27",PT4M19S,0:4:19,259.0
40,3XlX7EB4p0k,More Information - Paul Teaches About Suffering - Kenyan Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:1-13
Kenyan Sign Language - CBT 102, SGH 27",PT4M7S,0:4:7,247.0
41,gsJ5BWYLvzI,Story - Paul Teaches About Suffering - Kenyan Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:1-13
Kenyan Sign Language - CBT 102, SGH 27",PT5M11S,0:5:11,311.0
42,GO36ZabpG24,Introduction - Paul Teaches About Suffering - Kenyan Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:1-13
Kenyan Sign Language - CBT 102, SGH 27",PT3M14S,0:3:14,194.0
43,jyHX2mV9Yrg,Topic - Paul Teaches About Suffering - Kenyan Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:1-13
Kenyan Sign Language - CBT 102, SGH 27",PT18S,0:0:18,18.0
44,qvrN6bcopvw,Dialogue - Paul Teaches About the Gifts of the Holy Spirit - Kenyan Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Kenyan Sign Language - CBT 101, SGH 26",PT10M9S,0:10:9,609.0
45,Xzy-e6X3vPg,More Information - Paul Teaches About the Gifts of the Holy Spirit - Kenyan Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Kenyan Sign Language - CBT 101, SGH 26",PT6M9S,0:6:9,369.0
46,WhurrsRYYoU,Story - Paul Teaches About the Gifts of the Holy Spirit - Kenyan Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Kenyan Sign Language - CBT 101, SGH 26",PT12M49S,0:12:49,769.0
47,WCbhJQXUHpQ,Introduction - Paul Teaches About the Gifts of the Holy Spirit - Kenyan Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Kenyan Sign Language - CBT 101, SGH 26",PT1M43S,0:1:43,103.0
48,7sJcuRCCtCc,Topic - Paul Teaches About the Gifts of the Holy Spirit - Kenyan Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Kenyan Sign Language - CBT 101, SGH 26",PT21S,0:0:21,21.0
