,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
0,BE4DCfB3HsQ,Esforçando-se para obter o prêmio de Deus - Língua de Sinais de Moçambique - SGH - História,"Esforçando-se para obter o prêmio de Deus - Filipenses 3.12-21
Língua de Sinais de Moçambique - Sirva a Deus como história 32",PT4M16S,0:4:16,256.0
1,5yKF_CePttM,Esforçando-se para obter o prêmio de Deus - Língua de Sinais de Moçambique - SGH - Mais Inform,"Esforçando-se para obter o prêmio de Deus - Filipenses 3.12-21
Língua de Sinais de Moçambique - Sirva a Deus como história 32",PT4M37S,0:4:37,277.0
2,sIey2WyOFi4,Esforçando-se para obter o prêmio de Deus - Língua de Sinais de Moçambique - SGH - Intro,"Esforçando-se para obter o prêmio de Deus - Filipenses 3.12-21
Língua de Sinais de Moçambique - Sirva a Deus como história 32",PT3M15S,0:3:15,195.0
3,FkbhXyuqmiU,Esforçando-se para obter o prêmio de Deus - Língua de Sinais de Moçambique - SGH - Tema,"Esforçando-se para obter o prêmio de Deus - Filipenses 3.12-21
Língua de Sinais de Moçambique - Sirva a Deus como história 32",PT14S,0:0:14,14.0
4,D7cZ_tLfEeI,O Fim dos Tempos - Língua de Sinais de Moçambique - SGH - História,"O Fim dos Tempos - Apocalipse 7.1-17, 13.1-18
Língua de Sinais de Moçambique - Sirva a Deus como história 35",PT13M33S,0:13:33,813.0
5,rYdTVIXLDoc,O Fim dos Tempos - Língua de Sinais de Moçambique - SGH - Intro,"O Fim dos Tempos - Apocalipse 7.1-17, 13.1-18
Língua de Sinais de Moçambique - Sirva a Deus como história 35",PT2M42S,0:2:42,162.0
6,oZn-s9HI2jY,O Fim dos Tempos - Língua de Sinais de Moçambique - SGH - Tema,"O Fim dos Tempos - Apocalipse 7.1-17, 13.1-18
Língua de Sinais de Moçambique - Sirva a Deus como história 35",PT11S,0:0:11,11.0
7,3BXE-FtOMIc,As sete Igrejas - Língua de Sinais de Moçambique - SGH - História,"As sete Igrejas - Apocalipse 1.1-20, 2.1-29, 3.1-22
Língua de Sinais de Moçambique - Sirva a Deus como história 34",PT31M1S,0:31:1,1861.0
8,8EA7f7xlxR8,As sete Igrejas - Língua de Sinais de Moçambique - SGH - Mais Inform,"As sete Igrejas - Apocalipse 1.1-20, 2.1-29, 3.1-22
Língua de Sinais de Moçambique - Sirva a Deus como história 34",PT16M6S,0:16:6,966.0
9,lv8rDrHV4_g,As sete Igrejas - Língua de Sinais de Moçambique - SGH - Intro,"As sete Igrejas - Apocalipse 1.1-20, 2.1-29, 3.1-22
Língua de Sinais de Moçambique - Sirva a Deus como história 34",PT5M5S,0:5:5,305.0
10,AFMLr_7ATaM,As sete Igrejas - Língua de Sinais de Moçambique - SGH - Tema,"As sete Igrejas - Apocalipse 1.1-20, 2.1-29, 3.1-22
Língua de Sinais de Moçambique - Sirva a Deus como história 34",PT11S,0:0:11,11.0
11,LSevZnaaR8M,Os Líderes da igreja e os Diáconos - Língua de Sinais de Moçambique - SGH - Mais Inform,"Os Líderes da igreja e os Diáconos - 1 Timóteo 3.1-13
Língua de Sinais de Moçambique - Sirva a Deus como história 33",PT5M44S,0:5:44,344.0
12,Ay8K5kkJ1S4,Os Líderes da igreja e os Diáconos - Língua de Sinais de Moçambique - SGH - História,"Os Líderes da igreja e os Diáconos - 1 Timóteo 3.1-13
Língua de Sinais de Moçambique - Sirva a Deus como história 33",PT4M48S,0:4:48,288.0
13,_pg-aAygYNU,Os Líderes da igreja e os Diáconos - Língua de Sinais de Moçambique - SGH - Intro,"Os Líderes da igreja e os Diáconos - 1 Timóteo 3.1-13
Língua de Sinais de Moçambique - Sirva a Deus como história 33",PT1M12S,0:1:12,72.0
14,JXuRogvvo2I,Os Líderes da igreja e os Diáconos - Língua de Sinais de Moçambique - SGH - Tema,"Os Líderes da igreja e os Diáconos - 1 Timóteo 3.1-13
Língua de Sinais de Moçambique - Sirva a Deus como história 33",PT13S,0:0:13,13.0
