,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
0,ynRTIuMWkQg,Dialogue - The End Times - Nigerian Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Nigerian Sign Language - CBT 110, SGH 035",PT5M53S,0:5:53,353.0
1,9695xf29WLo,Story - The End Times - Nigerian Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Nigerian Sign Language - CBT 110, SGH 035",PT17M26S,0:17:26,1046.0
2,DyiBAYLr518,Introduction - The End Times - Nigerian Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Nigerian Sign Language - CBT 110, SGH 035",PT4M54S,0:4:54,294.0
3,luTCvDOhmDg,Topic - The End Times - Nigerian Sign Language,"The End Times - Revelations 7:1-17, 13:1-18
Nigerian Sign Language - CBT 110, SGH 035",PT15S,0:0:15,15.0
4,xbzvdcNYl8U,Dialogue - The Seven Churches - Nigerian Sign Langauge,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Nigerian Sign Langauge - CBT 109, SGH 035",PT11M55S,0:11:55,715.0
5,kOmpBraJnNI,More Information - The Seven Churches - Nigerian Sign Langauge,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Nigerian Sign Langauge - CBT 109, SGH 035",PT50M52S,0:50:52,3052.0
6,dLQO1OudZUM,Story - The Seven Churches - Nigerian Sign Langauge,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Nigerian Sign Langauge - CBT 109, SGH 035",PT53M11S,0:53:11,3191.0
7,BF3TMgAtVxU,Introduction - The Seven Churches - Nigerian Sign Langauge,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Nigerian Sign Langauge - CBT 109, SGH 035",PT6M44S,0:6:44,404.0
8,II-OXZw3FW0,Topic - The Seven Churches - Nigerian Sign Langauge,"The Seven Churches - Revelations 1:1-20, 2:1-29, 3:1-22
Nigerian Sign Langauge - CBT 109, SGH 035",PT16S,0:0:16,16.0
9,avcROuqMeDE,Dialogue - Church Leaders and the Deacons - Nigerian Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Nigerian Sign Langauge - CBT 108, SGH 033",PT9M29S,0:9:29,569.0
10,kjXM0Y-2zfU,More Information - Church Leaders and the Deacons - Nigerian Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Nigerian Sign Langauge - CBT 108, SGH 033",PT3M36S,0:3:36,216.0
11,35EXV0zHn88,Story - Church Leaders and the Deacons - Nigerian Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Nigerian Sign Langauge - CBT 108, SGH 033",PT6M53S,0:6:53,413.0
12,V18fSadLRF8,Introduction - Church Leaders and the Deacons - Nigerian Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Nigerian Sign Langauge - CBT 108, SGH 033",PT3M12S,0:3:12,192.0
13,3oLSTb1VDpg,Topic - Church Leaders and the Deacons - Nigerian Sign Language,"Church Leaders and the Deacons - 1 Timothy 3:1-13
Nigerian Sign Langauge - CBT 108, SGH 033",PT14S,0:0:14,14.0
14,Zlrq3_0hE7s,Dialogue - Striving to Get God's Prize - Nigerian Sign Langauge,"Striving to Get God's Prize - Philippians 3:12-21
Nigerian Sign Language - CBT 107, SGH 032",PT6M50S,0:6:50,410.0
15,W70Y0zO1mvU,More Information - Striving to Get God's Prize - Nigerian Sign Langauge,"Striving to Get God's Prize - Philippians 3:12-21
Nigerian Sign Language - CBT 107, SGH 032",PT8M4S,0:8:4,484.0
16,dMoZ0a57Ul8,Story - Striving to Get God's Prize - Nigerian Sign Langauge,"Striving to Get God's Prize - Philippians 3:12-21
Nigerian Sign Language - CBT 107, SGH 032",PT4M10S,0:4:10,250.0
17,j2_t2p61r4E,Introduction - Striving to Get God's Prize - Nigerian Sign Langauge,"Striving to Get God's Prize - Philippians 3:12-21
Nigerian Sign Language - CBT 107, SGH 032",PT4M35S,0:4:35,275.0
18,JKPC3MmW2H4,Topic - Striving to Get God's Prize - Nigerian Sign Langauge,"Striving to Get God's Prize - Philippians 3:12-21
Nigerian Sign Language - CBT 107, SGH 032",PT19S,0:0:19,19.0
19,oOCXrSZKwOM,Dialogue - Put on God's Armor - Nigerian Sign Langauge,"Put on God's Armor - Ephesians 6:10-20
Nigerian Sign Language - CBT 106, SGH 031",PT14M6S,0:14:6,846.0
20,Ty99JoCX6HU,More Information - Put on God's Armor - Nigerian Sign Langauge,"Put on God's Armor - Ephesians 6:10-20
Nigerian Sign Language - CBT 106, SGH 031",PT22M19S,0:22:19,1339.0
21,eZiAJTDXOlc,Story - Put on God's Armor - Nigerian Sign Langauge,"Put on God's Armor - Ephesians 6:10-20
Nigerian Sign Language - CBT 106, SGH 031",PT4M40S,0:4:40,280.0
22,ovpNPfG_JOk,Introduction - Put on God's Armor - Nigerian Sign Langauge,"Put on God's Armor - Ephesians 6:10-20
Nigerian Sign Language - CBT 106, SGH 031",PT3M5S,0:3:5,185.0
23,lt8eamipj4k,Topic - Put on God's Armor - Nigerian Sign Langauge,"Put on God's Armor - Ephesians 6:10-20
Nigerian Sign Language - CBT 106, SGH 031",PT22S,0:0:22,22.0
24,VcsLQzYR_2k,Dialogue - Christ and Church Relationship as Example for Husband and Wife - Nigerian Sign Langauge,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:21-33
Nigerian Sign Language - CBT 105, SGH 030",PT4M23S,0:4:23,263.0
25,TEnCOCmK8Y8,More Info - Christ and Church Relationship as Example for Husband and Wife - Nigerian Sign Langauge,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:21-33
Nigerian Sign Language - CBT 105, SGH 030",PT5M35S,0:5:35,335.0
26,TDa7TbkI0WI,Story - Christ and Church Relationship as Example for Husband and Wife - Nigerian Sign Langauge,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:21-33
Nigerian Sign Language - CBT 105, SGH 030",PT5M11S,0:5:11,311.0
27,UQi4u7dDtcA,Introduction - Christ and Church Relationship as Example for Husband and Wife Nigerian Sign Langauge,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:21-33
Nigerian Sign Language - CBT 105, SGH 030",PT6M10S,0:6:10,370.0
28,CiPVYjoypJc,Topic - Christ and Church Relationship as Example for Husband and Wife - Nigerian Sign Langauge,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:21-33
Nigerian Sign Language - CBT 105, SGH 030",PT24S,0:0:24,24.0
29,o5d_RLZAoAU,Dialogue - Paul Travels to Rome - Nigerian Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Nigerian Sign Language - CBT 104, SGH 029",PT16M17S,0:16:17,977.0
30,fpaJb7i1vgc,More Information - Paul Travels to Rome - Nigerian Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Nigerian Sign Language - CBT 104, SGH 029",PT12M53S,0:12:53,773.0
