,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
0,n17h7lHIs7k,The Seven Churches - South Sudan Sign Language - SGH - Story,"The Seven Churches: Revelations 1:1-20, 2:1-29, 3:1-22
South Sudan Sign Language - Serve God How Story 33",PT54M27S,0:54:27,3267.0
1,Rfmzcit2qK8,The End Time - South Sudan Sign Language - SGH - Story,"The End Time: Revelations 7:1-17, 13:1-18
South Sudan Sign Language - Serve God How Story 34",PT20M30S,0:20:30,1230.0
2,I4t4V1AFXD0,The End Time - South Sudan Sign Language - SGH - Intro,"The End Time: Revelations 7:1-17, 13:1-18
South Sudan Sign Language - Serve God How Story 34",PT3M37S,0:3:37,217.0
3,NeLdQ7DeKxk,The End Time - South Sudan Sign Language - SGH - Topic,"The End Time: Revelations 7:1-17, 13:1-18
South Sudan Sign Language - Serve God How Story 34",PT12S,0:0:12,12.0
4,oh8QB-2MFJs,The Seven Churches - South Sudan Sign Language - SGH - More Info,"The Seven Churches: Revelations 1:1-20, 2:1-29, 3:1-22
South Sudan Sign Language - Serve God How Story 33",PT11M12S,0:11:12,672.0
5,1nZg0LlGC0g,The Seven Churches - South Sudan Sign Language - SGH - Intro,"The Seven Churches: Revelations 1:1-20, 2:1-29, 3:1-22
South Sudan Sign Language - Serve God How Story 33",PT4M6S,0:4:6,246.0
6,AdDYPE_JfN4,The Seven Churches - South Sudan Sign Language - SGH - Topic,"The Seven Churches: Revelations 1:1-20, 2:1-29, 3:1-22
South Sudan Sign Language - Serve God How Story 33",PT15S,0:0:15,15.0
7,fW5W3vZSF_g,Church Leaders and Deacons - South Sudan Sign Language - SGH - More Info,"Church Leaders and Deacons: 1 Timothy 3:1-13
South Sudan Sign Language - Serve God How Story 32",PT5M38S,0:5:38,338.0
8,dITGxiXvGJA,Church Leaders and Deacons - South Sudan Sign Language - SGH - Story,"Church Leaders and Deacons: 1 Timothy 3:1-13
South Sudan Sign Language - Serve God How Story 32",PT4M56S,0:4:56,296.0
9,MulB6O0vKPc,Church Leaders and Deacons - South Sudan Sign Language - SGH - Intro,"Church Leaders and Deacons: 1 Timothy 3:1-13
South Sudan Sign Language - Serve God How Story 32",PT3M40S,0:3:40,220.0
10,Y1UTVNU0fSw,Church Leaders and Deacons - South Sudan Sign Language - SGH - Topic,"Church Leaders and Deacons: 1 Timothy 3:1-13
South Sudan Sign Language - Serve God How Story 32",PT18S,0:0:18,18.0
11,tc13GXzOpPc,Striving to get God's Prize - South Sudan Sign Language - SGH - More Info,"Striving to get God's Prize: Philippians 3:12-21
South Sudan Sign Language - Serve God How Story 31",PT5M30S,0:5:30,330.0
12,mirfQIeb9ik,Striving to get God's Prize - South Sudan Sign Language - SGH - Story,"Striving to get God's Prize: Philippians 3:12-21
South Sudan Sign Language - Serve God How Story 31",PT3M52S,0:3:52,232.0
13,yjZw067-5CM,Striving to get God's Prize - South Sudan Sign Language - SGH - Intro,"Striving to get God's Prize: Philippians 3:12-21
South Sudan Sign Language - Serve God How Story 31",PT4M33S,0:4:33,273.0
14,8_ilFJOb88k,Striving to get God's Prize - South Sudan Sign Language - SGH - Topic,"Striving to get God's Prize: Philippians 3:12-21
South Sudan Sign Language - Serve God How Story 31",PT18S,0:0:18,18.0
15,0SqsTtUZDXw,Put on God's Armor - South Sudan Sign Language - SGH - More Info,"Put on God's Armor: Ephesians 6:10-20
South Sudan Sign Language - Serve God How Story 30",PT17M46S,0:17:46,1066.0
16,P-0g334-6JE,Put on God's Armor - South Sudan Sign Language - SGH - Story,"Put on God's Armor: Ephesians 6:10-20
South Sudan Sign Language - Serve God How Story 30",PT3M45S,0:3:45,225.0
